ID_HARGA;KODE_JASA;CAKUPAN;VIA;TIPE;HARGA INDAH ONLINE;HARGA PKS;ASAL;TUJUAN;WILAYAH;UPDATE;JENIS;VARIAN;LEAD_TIME;KODE_NEGARA;SIMBOL;NILAI_TUKAR;DISKON;
1;1;;DARAT;BL;20200;14000;KUDUS;ATAMBUA;;;BERAT;>10;7-8;ID;Rp;1;30,693069306931%;
1;1;;DARAT;BL;5232;2000;KUDUS;BABAT (LMG);;;BERAT;>10;3-4;ID;Rp;1;61,773700305810%;
1;1;;DARAT;BL;10908;7500;KUDUS;BABAT TOMAN;;;BERAT;>10;4-5;ID;Rp;1;31,243124312431%;
1;1;;DARAT;BL;6464;3000;KUDUS;BADUNG (DPS);;;BERAT;>10;3-4;ID;Rp;1;53,589108910891%;
1;1;;DARAT;BL;10100;7000;KUDUS;BAGAN BATU;bagan batu kec. Bagan sinembah, kab. Rokan hilir ( jemput di kantor bagan batu);01/12/2022;BERAT;>10;3-4;ID;Rp;1;30,693069306931%;
1;1;;DARAT;BL;10100;7000;KUDUS;BAGAN SIAPI API;;;BERAT;>10;3-4;ID;Rp;1;30,693069306931%;
1;1;;LAUT;BL;14948;8500;KUDUS;BALANGAN;;;BERAT;>10;7-8;ID;Rp;1;43,136205512443%;
1;1;;DARAT;BL;6293;3000;KUDUS;BALARAJA;;;BERAT;>10;4-5;ID;Rp;1;52,327983473701%;
1;1;;DARAT;BL;11716;8500;KUDUS;BALIGE;;;BERAT;>10;4-5;ID;Rp;1;27,449641515876%;
1;1;;LAUT;BL;8888;5000;KUDUS;BALIKPAPAN;"Kec. Balikpapan Tengah; Kec.Balikpapan Utara; Kec. Muara Jawa Kab. Kutai Kartanegara; Kec. Balikpapan Selatan";28/07/2023;BERAT;>10;7-9;ID;Rp;1;43,744374437444%;
1;1;;DARAT;BL;10504;8000;KUDUS;BALIMBING;;;BERAT;>10;6-7;ID;Rp;1;23,838537699924%;
